header,date,link,brief,tags
В Финляндии откроют новую площадку для тестирования безопасности границы ,15:29 15.05.2025,https://ria.ru/20250515/finljandija-2017127017.html,Yle: в Йоэнсуу откроют площадку для тестирования технологий безопасности границы,"В мире,Технологии,Россия,Йоэнсуу,Финляндия,Дмитрий Песков,Мария Захарова"
"Байден объединил всю Европу против России, заявил Лавров ",15:29 15.05.2025,https://ria.ru/20250515/lavrov-2017126788.html,Лавров: Байден объединил всю Европу против России под нацистскими лозунгами,"В мире,Россия,Украина,Европа,Сергей Лавров,Владимир Путин,Джо Байден,НАТО,Адольф Гитлер,США,Наполеон Бонапарт"
Лавров назвал позорищем отказ послов ЕС от встречи по Украине ,15:26 15.05.2025,https://ria.ru/20250515/lavrov-2017126179.html,Лавров назвал позорищем отказ послов ЕС от приглашения на дискуссию по Украине,"Россия,Украина,Москва,Сергей Лавров,Мария Захарова,Евросоюз,Европейский совет,В мире"
"Киев должен признать сложившиеся реалии, считает политолог ",15:22 15.05.2025,https://ria.ru/20250515/ukraina-2017124835.html,"Политолог Велизаде: Киев должен признать реалии, чтобы подписать договор о мире","Россия,Стамбул,Украина,Дмитрий Песков,Реджеп Тайип Эрдоган,Владимир Путин,Евросоюз,Киев,В мире,Переговоры России и Украины в Стамбуле — 2025"
"Идея евроинтеграции не спасет правящую партию Молдавии, считает эксперт ",15:18 15.05.2025,https://ria.ru/20250515/moldaviya-2017123964.html,Шорников: идея евроинтеграции не спасет правящую в Молдавии партию от фиаско,"В мире,Молдавия,Мария Захарова,Россия,Евросоюз"
В Британии заявили о планах вместе с Германией создать высокоточное оружие  ,15:14 15.05.2025,https://ria.ru/20250515/velikobritanija-2017122695.html,Британия и Германия создадут высокоточное оружие дальностью до 2000 километров,"В мире,Космос - РИА Наука,Германия,Великобритания,Европа,НАТО,Boeing P-8 Poseidon"
Турция надеется на достижение мира по итогам переговоров России и Украины ,15:07 15.05.2025,https://ria.ru/20250515/turtsija-2017120679.html,Глава МИД Турции Фидан: Турция надеется на достижение мира по итогам переговоров,"В мире,Россия,Украина,Турция,Владимир Зеленский,Реджеп Тайип Эрдоган,Хакан Фидан,Переговоры России и Украины в Стамбуле — 2025"
"Трамп заявил, что подумает над переизбранием в 2028 году ",15:05 15.05.2025,https://ria.ru/20250515/tramp-2017119216.html,"Трамп заявил, что подумает над возможным новым президентским сроком в 2028 году","В мире,США,Катар,Дональд Трамп"
Трамп высказался об урегулировании украинского конфликта ,15:03 15.05.2025,https://ria.ru/20250515/tramp-2017118248.html,"Трамп: пока я не встречусь с Путиным, ничего не произойдет","В мире,США,Россия,Дональд Трамп,Владимир Путин,Переговоры России и Украины в Стамбуле — 2025"
"Россия подала в ЕСПЧ иск по оспариванию решений КС Латвии по ""Дому Москвы"" ",15:03 15.05.2025,https://ria.ru/20250515/rossija-2017117656.html,"МИД: Россия подала в ЕСПЧ иск по оспариванию решений КС Латвии по ""Дому Москвы""","В мире,Россия,Латвия,Рига,Мария Захарова,Европейский суд по правам человека (ЕСПЧ)"
Нефть подешевела из-за заявления Трампа о сделке с Ираном ,15:00 15.05.2025,https://ria.ru/20250515/neft-2017117101.html,Нефть дешевеет после публикации доклада МЭА и заявления Трампа о сделке с Ираном,"Цены на нефть,США,Иран,Тегеран (город),Дональд Трамп,Международное энергетическое агентство,Brent,WTI (нефть),В мире"
СМИ: Зеленский в Турции оказался перед неудобным выбором ,14:58 15.05.2025,https://ria.ru/20250515/cnn-2017115993.html,CNN: Зеленский оказался перед неудобным выбором по поводу переговоров с Россией,"Россия,Украина,Турция,Дональд Трамп,Владимир Зеленский,Андрей Сибига,В мире"
Журналист рассказал об истерике Зеленского из-за переговоров ,14:57 15.05.2025,https://ria.ru/20250515/zelenskiy-2017115835.html,Журналист Боуз: Зеленский закатил истерику из-за переговоров в Стамбуле,"В мире,Переговоры России и Украины в Стамбуле — 2025,Владимир Зеленский,Россия,Украина,Турция,Владимир Путин,Чей Боуз,Стамбул"
В Киеве раскрыли дерзкий план Зеленского на переговорах с Россией ,14:56 15.05.2025,https://ria.ru/20250515/zelenskiy-2017115121.html,Дубинский: Зеленский любыми путями будет пытаться сорвать переговоры в Стамбуле,"В мире,Киев,Россия,Стамбул,Дональд Трамп,Александр Дубинский,Владимир Путин,Верховная Рада Украины,Переговоры России и Украины в Стамбуле — 2025"
"США предложили возобновить работу Совета Россия — НАТО, передает Bloomberg ",14:56 15.05.2025,https://ria.ru/20250515/ssha-2017115586.html,Bloomberg: США выступили с идеей возобновить работу Совета Россия — НАТО,"Специальная военная операция на Украине,США,В мире,Украина,Россия,Стив Уиткофф,НАТО"
Повышение пошлин на импорт из России в ЕС затронет корма для животных ,14:53 15.05.2025,https://ria.ru/20250515/poshliny-2017115327.html,"Повышение пошлин ЕС на 50% на импорт из РФ затронет сахар, корма для животных","Экономика,Россия,Евросоюз,Европарламент,В мире"
"Российские дроны уничтожили три украинские ""Бабы-яги"" в Харьковской области ",14:50 15.05.2025,https://ria.ru/20250515/drony-2017113704.html,МО: расчеты FPV-дронов уничтожили три ударных дрона ВСУ в Харьковской области,"Специальная военная операция на Украине,Харьковская область,Министерство обороны РФ (Минобороны РФ),Вооруженные силы Украины,В мире"
Трамп оценил состав российской делегации на переговорах с Украиной в Турции ,14:49 15.05.2025,https://ria.ru/20250515/tramp-2017113619.html,"Трамп заявил, что не разочарован уровнем делегации РФ на переговорах в Турции","В мире,Украина,Турция,США,Дональд Трамп,Переговоры России и Украины в Стамбуле — 2025"
Каллас высказалась о санкциях против Сирии ,14:45 15.05.2025,https://ria.ru/20250515/glava-2017112302.html,Reuters: Каллас предложила продолжать ослаблять санкции против Сирии,"В мире,Сирия,Кайя Каллас,Башар Асад,Евросоюз"
Глава МИД Турции подтвердил прибытие американской делегации в Стамбул ,14:44 15.05.2025,https://ria.ru/20250515/ssha-2017111700.html,Глава МИД Турции Фидан подтвердил прибытие делегации США в Стамбул,"Переговоры России и Украины в Стамбуле — 2025,Россия,Владимир Зеленский,Хакан Фидан,Украина,Турция,Реджеп Тайип Эрдоган,В мире"
В Сумской области российские войска нанесли удар по складу БПЛА ВСУ ,14:42 15.05.2025,https://ria.ru/20250515/vsu-2017110891.html,Лебедев: в Сумской области ВС РФ нанесли удар по складу БПЛА для наемников ВСУ,"Специальная военная операция на Украине,В мире,Сумская область,Сергей Лебедев,Вооруженные силы Украины"
Лавров пожелал ООН выжить ,14:42 15.05.2025,https://ria.ru/20250515/lavrov--2017110755.html,Лавров на 80-летие ООН пожелал ей выжить,"В мире,Россия,Сергей Лавров,ООН"
Захарова раскритиковала появление четы Зеленских в вышиванках ,14:36 15.05.2025,https://ria.ru/20250515/zaharova-2017109066.html,Захарова назвала Зеленских в вышиванках ряжеными на похоронах Украины,"В мире,Украина,Россия,Владимир Зеленский,Мария Захарова"
"""Это война"". Слова Зеленского о российской делегации вызвали ярость в Киеве ",14:35 15.05.2025,https://ria.ru/20250515/zelenskiy-2017108308.html,Депутат Рады Дмитрук: Зеленский хочет сорвать переговоры в Стамбуле,"В мире,Украина,Россия,Артем Дмитрук,Владимир Зеленский,Переговоры России и Украины в Стамбуле — 2025"
"Трамп предложил Индии и Пакистану торговать, а не воевать ",14:33 15.05.2025,https://ria.ru/20250515/tramp-2017107935.html,"Трамп: Индия и Пакистан должны торговать, а не воевать","В мире,Индия,Пакистан,Кашмир,Дональд Трамп,Операция Синдур в Пакистане"
"Рютте заявил, что США сосредоточены на достижении мира на Украине ",14:31 15.05.2025,https://ria.ru/20250515/ssha-2017107306.html,Генсек НАТО Рютте: США сосредоточены на достижении мира на Украине,"В мире,Россия,Украина,Турция,Марко Рубио,Марк Рютте,Дональд Трамп,Переговоры России и Украины в Стамбуле — 2025,Стамбул"
Кремль не стал комментировать заявление Зеленского о переговорах с Россией ,14:29 15.05.2025,https://ria.ru/20250515/peskov-2017107013.html,Песков оставил без комментариев заявление Зеленского о переговорах с Россией,"Специальная военная операция на Украине,Реджеп Тайип Эрдоган,Владимир Зеленский,Россия,Украина,Стамбул,Дмитрий Песков,В мире,Переговоры России и Украины в Стамбуле — 2025"
"Запад и НАТО приватизировали секретариат ООН, заявил Лавров ",14:29 15.05.2025,https://ria.ru/20250515/oon-2017106536.html,Лавров: Россия выступает за реформирование в ООН из-за ее приватизации Западом,"В мире,Россия,Сергей Лавров,ООН,НАТО"
Лавров назвал истребление всего русского на Украине нацизмом ,14:21 15.05.2025,https://ria.ru/20250515/lavrov-2017104656.html,"Лавров: то, что делает Киев в отношении всего русского является чистым нацизмом","Специальная военная операция на Украине,В мире,Украина,Россия,Владимир Зеленский,Сергей Лавров,Верховная Рада Украины,Еврокомиссия,ООН,Переговоры России и Украины в Стамбуле — 2025"
"Киев может сорвать переговоры в Стамбуле, считает эксперт ",14:20 15.05.2025,https://ria.ru/20250515/ekspert-2017104206.html,Михайлов: Киев и его партнеры попытаются сорвать переговоры в Стамбуле,"Россия,Украина,Турция,Владимир Путин,Евгений Михайлов,Реджеп Тайип Эрдоган,Стамбул,Киев,Переговоры России и Украины в Стамбуле — 2025,В мире,Владимир Мединский"
Лавров докладывал Путину о подготовке делегации России к переговорам ,14:18 15.05.2025,https://ria.ru/20250515/lavrov-2017103729.html,Лавров докладывал Путину о подготовке делегации России к переговорам в Стамбуле,"Специальная военная операция на Украине,Россия,Украина,Турция,Дмитрий Песков,Сергей Лавров,Владимир Путин,Переговоры России и Украины в Стамбуле — 2025,Стамбул,В мире"
"Путину доложили о ситуации на линии соприкосновения, заявил Песков ",14:17 15.05.2025,https://ria.ru/20250515/putin-2017103025.html,Песков: командующие группировками войск доложили Путину о ситуации в зоне СВО,"Специальная военная операция на Украине,Россия,Украина,Турция,Владимир Путин,Дмитрий Песков,Реджеп Тайип Эрдоган,Переговоры России и Украины в Стамбуле — 2025,В мире"
Песков ответил на вопрос об уровне переговоров в Стамбуле ,14:15 15.05.2025,https://ria.ru/20250515/peskov-2017102615.html,"Песков: преждевременно говорить, на каком уровне будут переговоры в Стамбуле","Специальная военная операция на Украине,Россия,Украина,Турция,Дмитрий Песков,Владимир Путин,Реджеп Тайип Эрдоган,Стамбул,В мире,Переговоры России и Украины в Стамбуле — 2025"
Делегация России будет докладывать Путину о ходе переговоров в Стамбуле ,14:12 15.05.2025,https://ria.ru/20250515/stambul-2017101908.html,Песков: российская делегация будет докладывать Путину о переговорах в Стамбуле,"Специальная военная операция на Украине,Россия,Украина,Турция,Дмитрий Песков,Владимир Путин,Реджеп Тайип Эрдоган,Переговоры России и Украины в Стамбуле — 2025,Стамбул,В мире"
"Песков подтвердил, что российская делегация находится в Стамбуле с утра ",14:11 15.05.2025,https://ria.ru/20250515/delegatsiya-2017101530.html,"Песков: делегация РФ в Стамбуле, ждет визави с украинской стороны, их пока нет","В мире,Стамбул,Переговоры России и Украины в Стамбуле — 2025,Россия,Украина,Дмитрий Песков"
"Россия готова приложить все усилия к переговорам в Стамбуле, заявил Песков  ",14:10 15.05.2025,https://ria.ru/20250515/peskov-2017101417.html,Песков: Россия готова приложить все усилия к переговорам в Стамбуле,"Россия,Стамбул,Украина,Дмитрий Песков,Реджеп Тайип Эрдоган,Владимир Путин,Переговоры России и Украины в Стамбуле — 2025,В мире"
Песков высказался о готовности России провести переговоры с Украиной ,14:10 15.05.2025,https://ria.ru/20250515/peskov-2017101296.html,Песков: о готовности РФ провести переговоры было известно заблаговременно,"Специальная военная операция на Украине,Дмитрий Песков,Россия,Украина,Переговоры России и Украины в Стамбуле — 2025,В мире"
"Подготовки встречи Путина и Трампа пока не ведется, заявил Песков ",14:08 15.05.2025,https://ria.ru/20250515/peskov-2017100601.html,Песков: подготовки встречи Путина и Трампа пока не ведется,"Дмитрий Песков,Россия,Стамбул,Дональд Трамп,США,Владимир Путин,В мире"
Лавров высказался о возрождении османской цивилизации ,13:56 15.05.2025,https://ria.ru/20250515/rossiya-2017097751.html,"Лавров: Россия надеется, что возрождение Османской цивилизации будет гармоничным","Евразия,Россия,Африка,Сергей Лавров,В мире"
Мединский прибыл в Стамбул на переговоры с Украиной ,13:54 15.05.2025,https://ria.ru/20250515/medinskiy-2017097496.html,Мединский прибыл в Стамбул на переговоры с Украиной по поручению Путина,"Специальная военная операция на Украине,Переговоры России и Украины в Стамбуле — 2025,Стамбул,Россия,Украина,Владимир Путин,Дмитрий Песков,Владимир Мединский,В мире"
"Зеленский боится нацистских батальонов, заявил Лавров ",13:50 15.05.2025,https://ria.ru/20250515/lavrov-2017096951.html,"Лавров: Зеленский боится нацистских батальонов ""Азов"", ""Айдар""","Специальная военная операция на Украине,Сергей Лавров,Владимир Зеленский,Вооруженные силы Украины,Россия,В мире,Переговоры России и Украины в Стамбуле — 2025"
"Западные страны не хотят мира на Украине, заявил Лавров ",13:46 15.05.2025,https://ria.ru/20250515/lavrov-2017096291.html,"Лавров: есть много свидетельств, что западные страны не хотят мира на Украине","Специальная военная операция на Украине,Украина,Россия,В мире,Берлин (город),Сергей Лавров,НАТО,Переговоры России и Украины в Стамбуле — 2025"
Рябков высказался о возможной встрече Лаврова и Рубио в Стамбуле ,13:45 15.05.2025,https://ria.ru/20250515/lavrov-2017096138.html,Рябков: оснований говорить о встрече Лаврова и Рубио в Стамбуле 16 мая нет,"Россия,США,Стамбул,Сергей Лавров,Марко Рубио,Сергей Рябков,В мире"
"ИИ не заменит эрудиции дипломата, заявил Лавров ",13:41 15.05.2025,https://ria.ru/20250515/lavrov-2017095113.html,"Лавров: если дипломат нормальный, то ИИ не заменит его эрудиции","Россия,Сергей Лавров,В мире"
"Лавров заявил, что режим в Киеве не защищает интересы большой части Украины ",13:38 15.05.2025,https://ria.ru/20250515/kiev-2017094214.html,Лавров: власть на Украине не представляет интересы многих регионов,"В мире,Украина,Россия,Киев,Сергей Лавров,ООН,Верховная Рада Украины,Еврокомиссия"
Рябков высказался о восстановлении отношений России и США ,13:35 15.05.2025,https://ria.ru/20250515/ssha-2017094004.html,Рябков: восстановление отношений между Россией и США- очень трудоемкое дело,"Россия,Украина,В мире,США"
Рябков высказался о возможной встрече Путина и Трампа ,13:34 15.05.2025,https://ria.ru/20250515/vstrecha-2017093916.html,Рябков: для подготовки встречи Путина и Трампа требуется ряд предпосылок,"Украина,Дональд Трамп,Владимир Путин,Россия,Москва,Сергей Рябков,В мире"
Лавров назвал Британию поводырем Зеленского ,13:32 15.05.2025,https://ria.ru/20250515/lavrov-2017093483.html,"Лавров: Британия ведет Зеленского по джунглям мировой политики, как поводырь","Россия,Украина,Турция,Владимир Зеленский,Сергей Лавров,Кир Стармер,В мире"
ЕК обвинила TikTok в нарушении закона о цифровых услугах ,13:30 15.05.2025,https://ria.ru/20250515/ek-2017093325.html,ЕК обвинила TikTok в нарушении закона по прозрачности рекламы,"Брюссель,Еврокомиссия,TikTok,Евросоюз,В мире"
В Стамбуле около 200 журналистов ждут начала переговоров России и Украины ,13:30 15.05.2025,https://ria.ru/20250515/stambul-2017114356.html,Около 200 журналистов ожидают начала переговоров России и Украины в Стамбуле,"Специальная военная операция на Украине,Россия,Украина,Турция,Владимир Зеленский,Реджеп Тайип Эрдоган,Андрей Сибига,Переговоры России и Украины в Стамбуле — 2025,Стамбул,В мире"
"Запад не скрывает, зачем ему нужно прекращение огня, заявил Лавров ",13:26 15.05.2025,https://ria.ru/20250515/zapad-2017092478.html,"Лавров: Запад признает, что прекращение огня нужно для подготовки Киева к боям","В мире,Россия,Украина,Турция,Сергей Лавров,Владимир Путин,Дмитрий Песков"
"Администрация США при Трампе вернулась к нормальности, заявил Лавров  ",13:26 15.05.2025,https://ria.ru/20250515/lavrov-2017092391.html,Лавров: администрация США при Трампе вернулась к нормальности,"В мире,США,Европа,Россия,Дональд Трамп,Сергей Лавров,Джо Байден"
Лавров призвал Запад вернуть Украину к нормальности ,13:23 15.05.2025,https://ria.ru/20250515/lavrov-2017091930.html,Лавров: западным кураторам надо настоять на возвращении Киева к нормальности,"В мире,Киев,Сергей Лавров,ООН,Украина"
Катар выделит десять миллиардов долларов на авиабазу США ,13:20 15.05.2025,https://ria.ru/20250515/katar-2017091246.html,"Трамп: Катар выделит десять миллиардов долларов на авиабазу ""Эль-Удейд""","В мире,США,Катар,Дональд Трамп"
Трамп заявил о подписании соглашения с Катаром по поставкам военной техники ,13:15 15.05.2025,https://ria.ru/20250515/tramp-2017090874.html,Трамп заявил о договоре с Катаром по военным поставкам на 42 миллиарда долларов,"В мире,Катар,США,Дональд Трамп"
ЕС начнет работать над новым пакетом санкций против России ,13:15 15.05.2025,https://ria.ru/20250515/es--2017090635.html,Глава МИД Финляндии: ЕС начнет работать над новым пакетом санкций против России ,"Санкции в отношении России,Евросоюз,НАТО,Турция,Москва,Россия,В мире"
Эрдоган на встрече с Зеленским призовет к прекращению огня на Украине  ,13:13 15.05.2025,https://ria.ru/20250515/erdogan--2017090161.html,Эрдоган на встрече с Зеленским в Стамбуле призовет к остановке огня на Украине ,"Специальная военная операция на Украине,Россия,Украина,Турция,Реджеп Тайип Эрдоган,Владимир Зеленский,Владимир Путин,В мире,Переговоры России и Украины в Стамбуле — 2025"
Российские войска освободили села Торское и Новоалександровка в Донбассе ,13:10 15.05.2025,https://ria.ru/20250515/svo-2017089331.html,None,"Специальная военная операция на Украине,В мире,Донбасс,Донецкая Народная Республика,Вооруженные силы Украины,Вооруженные силы РФ"
"Группировка ""Запад"" продолжает продвигаться вперед ",13:08 15.05.2025,https://ria.ru/20250515/minoborony-2017089117.html,"Минобороны: группировка ""Запад"" продолжают продвигаться вперед, оттесняя ВСУ","Специальная военная операция на Украине,В мире,Россия,Донецкая Народная Республика,Вооруженные силы Украины"
СМИ заметили важную деталь во время прибытия Зеленского в Турцию ,13:08 15.05.2025,https://ria.ru/20250515/zelenskiy-2017088908.html,RT: Эрдоган не встретил Зеленского лично во время его прибытия в Турцию,"Турция,Россия,Реджеп Тайип Эрдоган,Владимир Зеленский,Андрей Сибига,Украина,В мире"
Лавров высказался о переговорах в Стамбуле ,13:08 15.05.2025,https://ria.ru/20250515/lavrov-2017088820.html,"Лавров: никто не сомневается, что переговоры в Стамбуле будут сложными","Стамбул,В мире,Россия,Украина,Сергей Лавров"
"США сохранят базу Баграм в Афганистане, заявил Трамп ",13:01 15.05.2025,https://ria.ru/20250515/tramp-2017087339.html,Трамп: США сохранят базу Баграм в Афганистане,"В мире,США,Афганистан,Дональд Трамп,Катар"
США скоро получат истребитель шестого поколения F47 ,13:00 15.05.2025,https://ria.ru/20250515/tramp-2017086995.html,Трамп: ВВС США скоро получат истребитель шестого поколения F47,"США,В мире,Катар,Дональд Трамп,F-35"
МИД высказался о роли ОДКБ в новой архитектуре безопасности в Евразии ,13:00 15.05.2025,https://ria.ru/20250515/odkb-2017086839.html,МИД РФ: опыт ОДКБ делает ее главным элементом архитектуры безопасности в Евразии,"ОДКБ,Россия,Евразия,Армения,В мире"
Лавров высказался о планах Запада против АСЕАН ,13:00 15.05.2025,https://ria.ru/20250515/lavrov-2017086750.html,Лавров: Запад хочет подорвать центральную роль АСЕАН в Юго-Восточной Азии,"Экономическое сообщество АСЕАН,Сергей Лавров,В мире,Россия,Юго-Восточная Азия,Ассоциация государств Юго-Восточной Азии,НАТО"
"Запад пытается столкнуть Индию и Китай, заявил Лавров ",12:59 15.05.2025,https://ria.ru/20250515/zapad-2017086155.html,"Лавров: Запад пытается столкнуть Индию и Китай, называя АТР Индо-Тихоокеанским","В мире,Индия,Китай,Россия,Сергей Лавров"
МИД: Россия оценит реакцию представителей Украины на конкретику в Стамбуле ,12:55 15.05.2025,https://ria.ru/20250515/zakharova-2017085222.html,Захарова: Россия оценит реакцию представителей Украины на конкретику в Стамбуле,"Специальная военная операция на Украине,Мария Захарова,Стамбул,Россия,Киев,В мире,Переговоры России и Украины в Стамбуле — 2025"
"Трамп заявил, что его приоритет- заканчивать конфликты, а не начинать ",12:53 15.05.2025,https://ria.ru/20250515/tramp-2017084818.html,"Трамп: мой приоритет- заканчивать конфликты, а не начинать ","Дональд Трамп,В мире,США,Катар"
Кандидат в президенты Польши Ментцен призвал сократить права украинцев ,12:52 15.05.2025,https://ria.ru/20250515/ukraintsy-2017084191.html,Ментцен: украинцы в Польше имеют слишком много прав,"В мире,Польша,Украина,Славомир Ментцен"
Трамп заявил о намерении укрепить вооруженные силы США ,12:46 15.05.2025,https://ria.ru/20250515/ssha-2017082169.html,Трамп заявил о намерении увеличить вооруженные силы США и их финансирование,"В мире,Вооруженные силы США,США,Катар,Дональд Трамп"
СМИ: жители Герата собрали и отправили в Газу около 200 тысяч долларов ,12:44 15.05.2025,https://ria.ru/20250515/gaza-2017081662.html,Tolo news: жители Герата собрали и отправили в Газу около 200 тысяч долларов,"В мире,Герат (провинция),Афганистан,Палестина"
Комитет Европарламента утвердил повышение пошлин на российские удобрения ,12:43 15.05.2025,https://ria.ru/20250515/udobreniya-2017081374.html,Комитет ЕП утвердил повышение пошлин на импорт удобрений из России и Белоруссии,"Экономика,Россия,Белоруссия,Москва,Евросоюз,В мире"
МИД: Россия настроена взаимоуважительно решать вопросы с Азербайджаном ,12:41 15.05.2025,https://ria.ru/20250515/mid-2017080870.html,Захарова: РФ настроена взаимоуважительно решать вопросы с Азербайджаном,"Мария Захарова,Ильхам Алиев,Россия,Москва,Баку,В мире"
"Россия использует все шансы для мира, заявил глава МИД Белоруссии ",12:39 15.05.2025,https://ria.ru/20250515/rossiya-2017080582.html,Рыженков: Россия использует все шансы для мира,"Россия,Украина,Турция,Максим Рыженков,Владимир Путин,Дмитрий Песков,В мире,Переговоры России и Украины в Стамбуле — 2025"
Источник: в Стамбул прибыли американские чиновники ,12:39 15.05.2025,https://ria.ru/20250515/chinovnik-2017080493.html,Несколько американских чиновников прибыли в Стамбул на переговоры РФ и Украины,"Стамбул,Переговоры России и Украины в Стамбуле — 2025,Россия,Украина,Владимир Зеленский,Реджеп Тайип Эрдоган,Андрей Сибига,В мире"
Захарова высказалась о заморозке отношений с Польшей ,12:38 15.05.2025,https://ria.ru/20250515/zakharova-2017080219.html,"Захарова: уровень диалога РФ и Польши настолько низкий, что замораживать нечего","Мария Захарова,Россия,Польша,Варшава,В мире"
"Франция возглавила западную партию войны против России, заявила Захарова ",12:35 15.05.2025,https://ria.ru/20250515/z-2017079430.html,"Захарова: Франция возглавила западную партию войны против РФ, расширяя санкции","Специальная военная операция на Украине,Россия,В мире,Франция,Украина,Мария Захарова,Санкции в отношении России"
Ливанский политик высказался о действиях США в регионе ,12:34 15.05.2025,https://ria.ru/20250515/ssha-2017079242.html,Политик Шруф: США подталкивают Ливан к нормализации отношений с Израилем,"В мире,Ливан,Израиль,Сирия,Набих Берри,Хезболла"
Пушилин отверг идею о 30-дневном перемирии ,12:31 15.05.2025,https://ria.ru/20250515/pushilin-2017078479.html,Пушилин: 30-дневное перемирие нужно только для уставших боевиков ВСУ,"Специальная военная операция на Украине,Вооруженные силы Украины,В мире,Россия,Москва,Денис Пушилин,Эммануэль Макрон,Украина,Фридрих Мерц"
Трамп не ожидал присутствия Путина на переговорах по Украине в Турции ,12:26 15.05.2025,https://ria.ru/20250515/tramp-2017077653.html,"Трамп заявил, что не ожидал участия Путина на переговорах по Украине в Турции","Специальная военная операция на Украине,В мире,Россия,Украина,Турция,Дональд Трамп,Владимир Путин,Дмитрий Песков"
"Визит Лаврова в Армению будет прорабатываться, сообщили в МИД ",12:26 15.05.2025,https://ria.ru/20250515/mid-2017077378.html,МИД: визит Лаврова в Армению будет прорабатываться,"Россия,В мире,Армения,Сергей Лавров,Мария Захарова"
Зеленский прибыл в Анкару ,12:26 15.05.2025,https://ria.ru/20250515/zelenskiy--2017077250.html,Владимир Зеленский прибыл в столицу Турции Анкару,"Специальная военная операция на Украине,Россия,Анкара (провинция),Украина,Владимир Зеленский,Реджеп Тайип Эрдоган,Андрей Сибига,Переговоры России и Украины в Стамбуле — 2025,В мире"
Захарова высказалась о торговой деэскалации между США и Китаем ,12:23 15.05.2025,https://ria.ru/20250515/ssha-2017076482.html,Захарова: торговая деэскалация между США и КНР снижает опасения рецессии в мире,"Китай,США,Россия,Мария Захарова,Введение Трампом пошлин на импорт,В мире"
В МИД высказались об участии европейских лидеров в переговорах в Стамбуле ,12:14 15.05.2025,https://ria.ru/20250515/mid-2017073861.html,"МИД: Берлин, Париж, Лондон не могут участвовать в переговорах","Специальная военная операция на Украине,В мире,Россия,Стамбул,Берлин (город),Париж,Лондон,Украина,Мария Захарова,Владимир Путин,Дмитрий Песков"
МИД: Киев пытается устроить шоу вокруг переговоров в Стамбуле ,12:06 15.05.2025,https://ria.ru/20250515/shou-2017071587.html,Захарова: Киев заявлениями пытается устроить шоу вокруг переговоров в Стамбуле,"В мире,Россия,Владимир Путин,Мария Захарова,Украина,Турция,Дмитрий Песков,Переговоры России и Украины в Стамбуле — 2025"
Медведев принял участие в совещании Путина по переговорам с Украиной ,12:05 15.05.2025,https://ria.ru/20250515/medvedev--2017071437.html,Медведев принял участие в совещании Путина по переговорам с Украиной в Стамбуле,"Специальная военная операция на Украине,Украина,Россия,Стамбул,Владимир Путин,Дмитрий Медведев,Дмитрий Песков,Переговоры России и Украины в Стамбуле — 2025,В мире"
"МИД: Киев проигнорировал перемирие, объявленное Россией на День Победы ",12:00 15.05.2025,https://ria.ru/20250515/mid-2017070452.html,"МИД: Киев цинично проигнорировал перемирие, объявленное Россией на День Победы","80-летие Победы в Великой Отечественной войне,В мире,Россия,Мария Захарова,Владимир Путин,80-летие Победы в Великой Отечественной войне"
Захарова заявила об озабоченности России биолабораториями США на Украине ,11:57 15.05.2025,https://ria.ru/20250515/mid-2017070218.html,"Захарова: Россия надеется, что США решат проблему биолабораторий на Украине","В мире,США,Украина,Россия,Мария Захарова,Дональд Трамп,Министерство обороны США"
"День Победы в Молдавии прошел с небывалым размахом, заявила Захарова ",11:57 15.05.2025,https://ria.ru/20250515/mid-2017070012.html,"МИД РФ: День Победы в Молдавии прошел с размахом, несмотря на политику Кишинёва","80-летие Победы в Великой Отечественной войне,Молдавия,Кишинев,Россия,Мария Захарова,Майя Санду,В мире,80-летие Победы в Великой Отечественной войне"
Песков ответил на вопрос о присутствии Путина на переговорах в Турции ,11:52 15.05.2025,https://ria.ru/20250515/peskov--2017068920.html,"Песков отрицательно ответил на вопрос, приедет ли Путин на переговоры в Стамбул","Специальная военная операция на Украине,Стамбул,Владимир Путин,Дмитрий Песков,Украина,Россия,В мире,Переговоры России и Украины в Стамбуле — 2025"
Переговоры в Стамбуле перенесли на вторую половину дня ,11:47 15.05.2025,https://ria.ru/20250515/peregovory-2017068585.html,МИД России: переговоры в Стамбуле перенесли на вторую половину дня,"Специальная военная операция на Украине,Переговоры России и Украины в Стамбуле — 2025,Стамбул,Россия,В мире,Мария Захарова,Владимир Путин,Дмитрий Песков,Украина"
В Турции дали оценку российской делегации ,11:45 15.05.2025,https://ria.ru/20250515/peregovory-2017068131.html,Политик Коркмаз: Путин отправил на переговоры с Украиной стратегическую команду,"Специальная военная операция на Украине,Россия,Турция,Украина,В мире,Владимир Путин,Мария Захарова,Дмитрий Песков"
